original_title,overview
The Cameraman,"Buster is a tintype portrait photographer who at first sight develops a serious crush on Sally, a beautiful young woman who works as a secretary for MGM's newsreel department. Buster seeks to also work there, as a newsreel cameraman, in hopes of impressing her. However, his skills with a movie camera are lacking at first. Buster is determined to succeed, in hopes of winning the girl."
Człowiek z M-3,
Rafa,"Rafa is a 13 years old kid concerned with his mother, held in a police station for driving without a license.  The director shows a day in the life of a teenager who lives on a problematic area and discovers that her mother was arrested because of an automobile accident."
The Room,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. The happy-go-lucky guy sees his world fall apart when his friends begin to betray him one-by-one."
Jack Reacher,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for."
Dark of the Sun,"A band of mercenaries led by Captain Curry travel through the Congo across deadly terrain, battling rival armies, to rescue $25 million in uncut diamonds."
La Comtesse,"Countess Irina of Karlstein resides quietly in a hotel on the island of Madeira, where she sustains her immortality by feeding on the life essence of men and women. When new victims are found fatally drained of potency, forensic scientist Dr. Roberts consults his colleague, Dr. Orloff, who confirms that a vampire is responsible. Meanwhile, Irina is confronted by a poet who believes he is destined to become her lover and join her among the immortals!"
Orlando,"In 1600, nobleman Orlando inherits his parents' house, thanks to Queen Elizabeth I, who commands the young man to never change. After a disastrous affair with Russian princess Sasha, Orlando looks for solace in the arts before being appointed ambassador to Constantinople in 1700, where war is raging. One morning, Orlando is shocked to wake up as a woman and returns home, struggling as a female to retain her property as the centuries roll by."
Simple Men,"Bitter about being double-crossed by the women he loved, (and with the police after him to boot), Bill vows to seduce the next woman he sees, then throw her away. His brother Dennis, meanwhile, is equally determined to track down their long lost father, a revolutionary who has been in hiding for 20 years. For different reasons, both leave New York and head for Long Island, out of money, and short on ideas. D:""Long Island is a a terminal moraine."" B:""What's that?"" D:""It's the material left behind when a glacier recedes."" D:""Gee, then what the hell are we waiting for?""D: ""She's a bit jumpy..."" B: ""Jumpy women are great!"""
The Return of the Musketeers,"It's 1649: Mazarin hires the impoverished D'Artagnan to find the other musketeers: Cromwell has overthrown the English king, so Mazarin fears revolt, particularly from the popular Beaufort. Porthos, bored with riches and wanting a title, signs on, but Aramis, an abbé, and Athos, a brawler raising an intellectual son, assist Beaufort in secret. When they fail to halt Beaufort's escape from prison, the musketeers are expendable, and Mazarin sends them to London to rescue Charles I. They are also pursued by Justine, the avenging daughter of Milady de Winter, their enemy 20 years ago. They must escape England, avoid Justine, serve the Queen, and secure Beauford's political reforms."
Beautiful People,"In London, during October 1993, England is playing Holland in the preliminaries of the World Cup. The Bosnian War is at its height, and refugees from the ex-Yugoslavia are arriving. Football rivals, and political adversaries from the Balkans all precipitate conflict and amusing situations. Meanwhile, the lives of four English families are affected in different ways by encounter with the refugees."
La casa del fin de los tiempos,"The House at the End of Time is the first Venezuelan thriller suspense and terror. It tells the story of Dulce (Ruddy Rodriguez) a mother who has encounters with apparitions inside her old house, where she must decipher a mystery that could trigger a prophecy: the death of her family."
자칼이 온다,"Clumsy and off-the-wall hit man Bong Min-jung (Song Ji-hyo) is hired to kill top Hallyu star Choi Hyun (Kim Jaejoong). She ambushes him at Paradise Hotel in Seong-ju where the cops are on a stakeout for serial killer ""Jackal"". However Min-jung realizes that Hyun is her favorite star, and Hyun finds out that her client is his ex-girlfriend. Then Angela arrives and the two meet Hyun, her boy toy, she is unintentionally stabbed to death by Min-jung. Curious chemistry develops between the two, and he decides to help her."
Hearts of the West,"Naive Iowa farm boy Lewis Tater dreams of being a famous Western novelist like his hero, Zane Grey. He leaves home to answer a writing correspondence course's ad for on-campus classes, only to discover that the school consists of a row of postboxes at an isolated Nevada train depot. On the run from the con men responsible, Lewis stumbles across ""real"" cowboys shooting a movie in the desert. The would-be writer soon finds himself instead acting in Westerns, for the rundown Tumbleweed Productions, in silent-era Hollywood."
The Girl,A young Texan mother who loses her child to foster care begins smuggling Mexicans across the border.
Glory Daze: The Life and Times of Michael Alig,"A review of the wild New York City nightlife of the 90s. The cast of characters who made up the infamous Club Kids speak candidly about that era, culminating with Alig's release from incarceration."
Inserts,"A young, once-great Hollywood film director refuses to accept changing times during the early 1930s, and confines himself to his decaying mansion to make silent porn flicks."
Kidnap,"Single mother Karla McCoy lives a perfect life with her young son Frankie. One day, upon entering a local park, Karla sees her son suddenly being abducted out of the blue by a kidnapper. To save Frankie from being taken, Karla goes out on a mission to demand people in the city to help rescue her son."
Brotherly Love,West Philadelphia basketball star Sergio Taylor deals with the pressures of fame while his brother and sister have their own issues with ambition.
Cruising,"A serial killer brutally slays and dismembers several gay men in New York's S/M and leather districts. The young police officer Steve Burns is sent undercover onto the streets as decoy for the murderer. Working almost completely isolated from his department, he has to learn and practice the complex rules and signals of this little society."
Антикиллер,"Former criminal investigator, Major Korenev, nicknamed Fox is released from prison. He has been detained there as a result of planted incriminating evidence of unlawful investigation techniques. Setting accounts with Shaman - a big criminal boss, who ordered the evidence planted and also with his former colleagues was not a part of Korenev's agenda. As he returns to Moscow he finds a new world ruled by underworld bosses, criminal clans fighting each other and utter chaos on the desperately keeping appearances streets of Russian capital. Facing death of his friends, Major Korenev decides to re-install law and order using some unorthodox methods that are only relevant in 21st century Russia."
The Belko Experiment,"In a twisted social experiment, a group of 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
回路,"After one of their friends commits suicide, strange things begin happening to a group of young Tokyo residents. One of them sees visions of his dead friend in the shadows on the wall, while another's computer keeps showing strange, ghostly images. Is their friend trying to contact them from beyond the grave, or is there something much more sinister going on?"
Two Step,"Two Step is a fast-paced Texas thriller in which the lives of James, a directionless college dropout, and Webb, a career criminal with his back against the wall, violently collide."
Cutter's Way,"Richard spots a man dumping a body, and decides to expose the man he thinks is the culprit with his friend Alex Cutter."
Kansas,"A drifter becomes both a bank robber and a hero in this crime thriller. Andrew McCarthy stars as Wade Corey, who hitches a ride on a freight train already occupied by Doyle Kennedy (Matt Dillon), a charming ex-con who convinces Wade to accompany him to his hometown. Once there, Wade realizes too late that Doyle is intent on robbing the local bank. After they are separated following the crime, Wade hides the money. Happening upon a drowning in progress, he saves a young girl who just happens to be the daughter of the state governor, and he becomes an unlikely hero. Finding work at a nearby farm, the meandering Wade becomes a hired hand, falls for the beautiful daughter (Leslie Hope) of his boss, and dreads the return of Doyle, who is sure to come looking for his money."
Diva,"Jules, a young Parisian postman, secretly records a concert performance given by the opera singer Cynthia Hawkins, whom he idolises. The following day, Jules runs into a woman who is being pursued by armed thugs. Before she is killed, the woman slips an audio cassette into his mail bag..."
Harper Valley P.T.A.,"Stella Johnson is a single mother living in the town of Harper Valley. Most of the townsfolk, particularly those on the school PTA, think she is a little too liberal so they're making things tough for her and her daughter. So she runs for the position of PTA President, which infuriates them. Stella decides to get revenge with the help of her friends."
Roadgames,A truck driver plays a cat-and-mouse game with a mysterious serial killer who uses a young female hitchhiker as bait to lure victims on a desolate Australian highway.
Gabriel Iglesias: Hot and Fluffy,"Gabriel Iglesias is one of the fastest-rising comics today! With his unique brand of humor, lovable stage presence and wide range of voices and impressions, it's no wonder that he already has a huge fan following. Now you can see Comedy Central's ""Comic of the Year"" in his sold-out performance at the historic Fox Theatre in Bakersfield, California!"
Zombie Strippers!,"In the not too distant future a secret government re-animation chemo-virus gets released into conservative Sartre, Nebraska and lands in an underground strip club. As the virus begins to spread, turning the strippers into ""Super Zombie Strippers"" the girls struggle with whether or not to conform to the new ""fad"" even if it means there's no turning back."
The Tsunami and the Cherry Blossom,"On 11 March 2011, an earthquake caused a tsunami to hit the Tōhoku (Northeast) region of Japan. In this film, survivors of the tsunami rebuild as cherry blossom season begins. The film is a stunning visual haiku about the ephemeral nature of life–and of the healing power of Japan's most beloved flower."
Wild Child,Rebellious 16 year old Poppy from Mailibu is sent to an English boarding school. Realising her Father isn't coming back to rescue her she tries to get expelled.
Bite Size,"""Bite Size"" follows the year long journey of four children struggling with obesity."
The Bespoke Overcoat,"Fender is a lowly clerk in the warehouse of clothing manufacturers Ranting and Co. His one ambition is to have an overcoat of his own. Refused one by the cold hearted Ranting he asks a tailor friend, Morry, to make him one instead, but dies of cold before he can take delivery of it. Unwilling to give up his only desire even in death, he returns as a ghost to persuade Morry to steal him the overcoat he so coveted in life."
Dead in Tombstone,"An outlaw named Guerrero Hernandez is shot in the back and killed whilst attempting to free his half-brother from a small-town prison. Making a deal with the devil, Hernandez returns from the dead to take his revenge."
Branded,"A gunfighter takes part in a scheme to bilk a wealthy cattle family out of half a million dollars by pretending to be their son, who was kidnapped as child."
Double Daddy,A teen's life turns upside down when her boyfriend impregnates both her and a new student at school.
Blackball,"Blackball follows the fortunes of Cliff Starkey, a working-class fine of lawn bowls with an exceptional talent. Wanting to take on the Aussies he manages to become regional champion, only to get banned. Sports agent Rich Schwartz picks him up and makes him so popular the Bowls Committee deem to lift the ban. Now the question is whether he can regain his form and his friends to beat the Aussies."
The Dream Catcher,"An abandoned teen jumps a freight train in Philadelphia intent on reaching his uncle in Indiana, whom he believes will help him with financial difficulties including a pregnant girlfriend. In Ohio, he meets another homeless teen, who escorts him to his uncle. Finding his uncle equally broke, the duo head on to Oklahoma City to try to find the first teen's long-gone ex-con father. A confrontation between father and son send the duo on into exploits in the west including getting beaten up, busting into an Indian reservation church, and hitch-hiking with a beautiful nurse."
Bridgend,"Over a 5-year period in Bridgend in Wales, 79 people, many of them teenagers, committed suicide without leaving any clue as to why. This is the starting point for this mysterious social drama."
Altiplano,"In the Andes, a Belgian doctor and his photojournalist wife become ensnared in a native tribe's struggle with a mining company."
戀戰沖繩,"Jimmy Tong (Leslie Cheung) is an expert blackmailer and thief who specialises in white-collar crimes. With his side-kick (Vincent Kok), Jimmy steals a personal diary belonging to a Yakuza leader Ken Sato (Masaya Kato) intending to use its details as a platform for blackmailing and to extort money. Sato agreed to the uneasy deal and made preparations to pay Jimmy his exorbitant demands only for Sato's girlfriend Jenny (Faye Wong) to betray him and make off with the money to Okinawa."
Drei Sterne - Die Köche und die Sterne,"Focusing on ten Michelin 3 Star chefs, Three Stars depicts the everyday drama of life in gourmet restaurants and includes exclusive interviews and behind-the-scenes access to some of the world’s most talented chefs as they work in their gastronomic laboratories, hunt for exquisite ingredients in local markets, and gather rare edible plants along rough coastlines. It reveals the business of cooking on the highest level and highlights the various kitchen routines and culinary philosophies of chefs like Jean-Georges Vongerichten, Yannick Alléno, and Olivier Roellinger."
"Munster, Go Home!","Herman discovers he's the new lord of Munster Hall in England. The family sails to Britain, where they receive a tepid welcome from Lady Effigy and Freddie Munster, who throws tantrums because he wasn't named Lord Munster. An on-board romance had blossomed between Marilyn and Roger, but on land Marilyn discovers Roger's family holds a longstanding grudge against the Munsters."
Laggies,"Overeducated and underemployed, 28 year old Megan is in the throes of a quarterlife crisis. Squarely into adulthood with no career prospects, no particular motivation to think about her future and no one to relate to, Megan is comfortable lagging a few steps behind - while her friends check off milestones and celebrate their new grown-up status. When her high-school sweetheart proposes, Megan panics and- given an unexpected opportunity to escape for a week - hides out in the home of her new friend, 16-year old Annika and Annika's world-weary single dad Craig."
The Hi-Lo Country,"An intimate story of the enduring bond of friendship between two hard-living men, set against a sweeping backdrop: the American West, post-World War II, in its twilight. Pete and Big Boy are masters of the prairie, but ultimately face trickier terrain: the human heart."
Out of Love,"Out of Love encapsulates the sweltering and devastating dynamics of love in the turbulent relationship between Varya and Nikolai, where genuine love and hope contend with destruction and despair."
Bloodmoon,"Ken O'Hara (Gary Daniels) is a ""Mindhunter"" - a serial killer specialist enlisted to find the mass murderer (Darren Shahlavi) intent on killing the strongest fighters in New York City. Trying to catch this cunning and clever killer is the hardest assignment Ken has ever had. Now, the moon is rising again and he must use all of his resources to hunt down the murderer....or he may be the next to die."
Blues Busters,The Bowery Boys (Bowery Boys) open a nightclub after Sach has his tonsils out and wakes up with a singing voice.
Sierra Leone's Refugee All Stars,"Sierra Leone's Refugee All Stars is a documentary film about the musical band of the same name composed entirely of refugees from Freetown displaced to Guinea during the civil war of Sierra Leone.  The film follows the band for three years as they are relocated between various refugee camps in Guinea, and concludes with their return to Freetown and the recording of their first studio album, Living Like A Refugee."
Philadelphia Experiment II,"It is several years after the events of the first movie, and David Herdeg (the survivor of the Philadelphia Experiment from the first film) and Allison (the woman from 1984 he fell in love with) have married and have a child. David awakes, in agony, to a changed world. Germany won World War II and the United States is now about to mark 50 years as a Nazi conquest."
Muri shinjû: Nihon no natsu,"A sex-obsessed young woman, a suicidal young man she meets on the street, a gun-crazy wannabe gangster—these are just three of the irrational, oddball anarchists trapped in an underground hideaway in Oshima’s devilish, absurdist portrait of what he deemed the “death drive” in Japanese youth culture."
The Leopard Man,"When a leopard escapes during a publicity stunt, it triggers a series of murders."
Una lucertola con la pelle di donna,"A young woman is accused of murdering her debauched neighbor after dreaming it. Was she set up, or did she really do it?"
The House of Mirth,A woman risks losing her chance of happiness with the only man she has ever loved.
Ninja Death,"Tiger is the owner of a brothel who moonlights as a kung fu artist under the watchful eye of ""Master."" They run into serious trouble when ninjas inexplicably show up and jeopardize Tiger's prostitution ring."
Squeeze,"Ty, Hector, and Bao are close friends in a tough section of Boston, where they're called ""the PG-13 crew."" They're 14, decent kids with few skills who've bailed out of school. A small gang of older tough guys, led by Marcus and Tommy, menace them, and when the PG-13s fight back and rob one of the gang, Marcus and Tommy vow to kill them. They seek protection from Derick, a drug dealer, who agrees to help if they'll sell drugs. Meanwhile, Ty is recruited to work at a community center by J.J., its quiet leader. Ty and his friends are in a squeeze: surrounded by violence, drugs, and no opportunities, is there any way out?"
The Case of the Lucky Legs,Frank Patton is the promoter of the Lucky Legs Contest. The problem is that he always skips town before paying the $1000 to the winner...
Queen Christina,"Queen Christina of Sweden is a popular monarch who is loyal to her country. However, when she falls in love with a Spanish envoy, she must choose between the throne and the man she loves."
The Warriors,"Prominent gang leader Cyrus calls a meeting of New York's gangs to set aside their turf wars and take over the city. At the meeting, a rival leader kills Cyrus, but a Coney Island gang called the Warriors is wrongly blamed for Cyrus' death. Before you know it, the cops and every gangbanger in town is hot on the Warriors' trail."
The Jungle,Big cat conservationist LARRY BLACK and his film-maker brother BEN travel into the Indonesian jungle to find and document the rare and endangered Javan Leopard. As they travel deeper and deeper into the jungle they realise they are being stalked by a deadly predator
The Amazing Transparent Man,"An ex-major forces a scientist to develop a invisibility formula, with which he plans to create an invisible army and sell it to the highest bidder. However there are side effects to the formula."
Bikini Spring Break,A group of coeds from a small conservative college break out of their shells when their marching band bus breaks down in Fort Lauderdale during Spring Break.
Antonio Gramsci - i giorni del carcere,Antonio Gramsci: The Days of Prison is a 1977 Italian drama directed by Lino Del Fra.
Itinéraire d'un enfant gâté,"A foundling, raised in the circus, Sam Lion becomes a businessman after a trapeze accident. However, when he reaches fifty and becomes tired of his responsibilities and of his son Jean-Philippe, he decides to disappear at sea. However, he runs into Albert Duvivier, one of his former employees. He comes to realise that he has ignored the important things in his life."
"Batman: The Dark Knight Returns, Part 1","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?"
Return to Sender,"While fighting for a woman who sits on death row, a lawyer happens upon new information which brings into question the motives of a man associated with her client"
الشتا إللى فات,"Amr is a 35 year old man who wakes up one day to a very different Egypt. Amr rarely leaves home as he works from his place designing software. It is January 25, 2011 and Amr starts the day with news of protests all over Cairo and marches leading to Tahrir square. Something tells him that these protests will lead to major political change. Farah, a woman in her early 30’s, is a news anchor on Egyptian television. The news Farah gives her audience is very different from the news presented online or on international news channels."
Death in Brunswick,"A reserved man in need of a job, Carl Fitzgerald finds employment at a Greek restaurant. Upon meeting waitress Sophie, Carl begins dating the attractive woman. Though it seems things are improving for Carl, an unexpected situation leads to the death of Mustafa, a shady coworker, and Carl must figure out how to cover up the incident. Unsure of what to do, Carl enlists the help of his buddy, Dave, to get rid of Mustafa's corpse."
Dark Island,"After losing contact with its researchers on a remote island, a military corporation hires a group of scientists and soldiers to find out what went wrong. But when they arrive, the team quickly discovers that the weapons testing performed on the island has unleashed and powerful and deadly entity that will stop at nothing to destroy them all."
Триптих,"This intriguing mixture of melodrama and politics is not divided into three parts; the title instead refers to three female characters whose lives intersect in a small town in northern Uzbekistan during the difficult days following World War II. The first is an old woman trapped in a forced marriage; the second is a schoolteacher imposing progress on the remote region; the third, and most important, is Khalima (Kambarova), an illiterate but determined young woman who resolves to build her own house without either her husband's or the state's approval. The film's harsh vision of life in postwar Uzbekistan, as well as its ambivalent attitude toward the conflicting demands of individualism and collectivism, made it the object of official disapproval."
Animal Room,No overview found.
Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career."
Panic,"Alex is going through a midlife crisis and it has become a very difficult time for him. His marriage is struggling, he's worried about his son, and his job of killing people for his family has become the most stressful part of his life. He seeks the help of a therapist and meets a woman in the waiting room that he connects with."
El buque maldito,"After a pair of models go missing from a boat, a rescue party discover an empty galleon carrying the coffins of the long dead Knights Templar. The rescue party board the galleon and then discover their own boat has vanished. The survivors struggle to fight off the spectral knights with what little knowledge they have of them."
Turn the Beat Around,"An idealist young dancer named Zoe (Romina D’Ugo) tackles the difficult issue of resurrecting disco dancing in today’s music business. She meets hostility beyond resistance on every dance floor where she spins and twirls. Fortunately, she has at least one ally, a nightclub owner and visionary named Michael (David Guintoli) who shares her zeal for the long-ago dance craze. With money to burn, Michael arranges for Zoe to test market bringing back disco, even with rival choreographers like Malika (Brooklyn Sudano). Soon dance takes a two-step in the wrong direction when hard-hearted Malika and Michael start vying to become Zoe’s dance partner."
Cyrano de Bergerac,"Embarrassed by his large nose, a romantic poet/soldier romances his cousin by proxy."
Palmipédarium,"Simon knows ducks quite well. They make noise, fly, swim, some even roll. Sometimes, it's a bit confusing and Simon gets lost."
Bela Lugosi Meets a Brooklyn Gorilla,Two goofy entertainers meet a mad scientist on a jungle island.
L'aigle à deux têtes,"Political intrigue and psychological drama run parallel. The queen is in seclusion, veiling her face for the ten years since her husband's assassination, longing to join him in death. Stanislas, a poet whose pen name is Azrael, is a suicidal anarchist, his imagination haunted into hate by longing for this queen who's drawn apart. He enters her private quarters intent on killing her then himself, but they fall in love, in part because he looks like the king. Stanislas wants her to regain political power by appearing to the public, and she tries to convince him to find hope and escape. All the while, the queen's enemies plot to keep the lovers together but to thwart their plans."
La città gioca d'azzardo,"Luca Altieri is a gambler. He likes cards and he is a master in playing poker. He is a cardsharper too. He begins working for ""The President"", who has many gambling houses and everything seems to go well until Luca falls for Maria Luisa. Unfortunately for them, she is the girl of Corrado, the son of ""The President""..."
Escape,Escape is a thriller about a World War II vet who goes to prison for murder and then escapes. He meets a woman who tries to get him to surrender.
Wake Up Sid,"Wake Up Sid! is the story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai."
Welcome to the Jungle,A company retreat on a tropical island goes terribly awry.
The Task,"Something diabolical is taking place on the set of ""The Task"" a new reality show in which players complete terrifying missions within the confines of an abandoned prison hoping to win a hefty cash prize. As six young students explore their new environment, malicious spirits make their presence known in the most gruesome ways imaginable, Unable to escape the labyrinthine prison, the contestants become unwitting pawns caught at the centre of a blood-soaked night of terror."
La petite Lili,"This film, loosely inspired by Anton Chekov's The Seagull, weaves a story about sex, family and the business of making films. When the young and overly sensitive filmmaker Julien screens his new DV art-film starring his girlfriend Lili (Swimming Pool's Ludivine Sagnier) --a sexy young local girl--to his famous actress mother Mado, and her lover Brice, an accomplished film director, an unraveling of the delicate peace in their house begins. The graceful beauty Lili, who dreams of becoming a famous actress like Mado, is immediately fascinated by Brice, who gladly falls prey to her charms."
Lilo & Stitch 2: Stitch has a Glitch,"Now, we find the rowdy extraterrestrial getting used to life with his new ohana. However, a malfunction in the ultimate creation of Dr. Jumba soon emerges, which reinstates his destructive programming and threatens to both ruin his friendship with Lilo and to short him out for good!"
"Drive, He Said","Hector is a star basketball player for the College basketball team he plays for, the Leopards. His girlfriend, Olive, doesn't know whether to stay with him or leave him. And his friend, Gabriel, who may have dropped out from school and become a protestor, wants desperately not to get drafted for Vietnam."
Duplicate,"Bablu (Shah Rukh Khan), an aspiring chef, works in a hotel where Sonia Kapoor,(Juhi) works with him as banquet manager at the restaurant. His look-alike Manu (Shah Rukh Khan), a gangster, robs a bank along with his friend (Gulshan Grover) but gets caught. He comes out of prison and discovers that his cohort has double-crossed him. He murders his partner and escapes from the scene of the crime...without the money. Bablu stumbles on the money and keeps it. Manu's lover Lily (Sonali Bendre) mistakes Bablu to be Manu and spirits him away. Manu takes shelter in Bablu's house and realizes that he can use their resemblance to his advantage.Then starts the fun-ride with Babloo constantly being mistaken for Manu. With both Sonia and Lily after him, Manu furious and the Law taking him to be Manu, Babloo faces a tough time. And then, Manu kidnaps Bibi (Farida Jalal) Babloo's mother and holds her hostage."
Occhio alla penna,"Trinity series star Bud Spencer returns to the Wild West in director Michele Lupo's comic tale of an outlaw drifter, Buddy, who is mistaken for a doctor after his Indian companion inadvertently steals a bag of surgical instruments. When a band of murderous outlaws attempts to overrun the small town Buddy is passing through, the presumed medico shows that his true talent is cracking skulls. Music is composed by Ennio Morricone."
A Woman's Secret,"Susan is in the hospital with a bullet near her heart. Marian has told the police that she shot Susan in a rage as Susan was giving up singing. Marian and Luke found Susan when she was a failure. A singer with a limited range, she was a diamond in the rough which Marian and Luke taught how to walk, dress and talk. With the singing lessons, Marian had hoped that she would have the career that Marian would have had if she had not lost her voice. Even though Susan is a scatterbrain girl, Luke does not believe that Marian would have been capable of shooting her. Luke hopes that Detective Fowler will be able to find out the truth and free Marian."
Ricky Gervais Live 2: Politics,"A year after Animals, Ricky Gervais comes back with his second stand up comedy tour: Politics."
Raising Waylon,"Waylon is a nine year old boy who, after losing their parents, begins to live with her ​​godparents, couples in the past but now separated and with little appetite for adoption. The boy's arrival will be the ultimate test to confirm whether the two are better together or apart."
Dögkeselyű,"Two old women who happen to be pickpockets stole money from Simon, the taxi driver. The police are unable to find the thieves, so Simon decides to find them himself."
The Phantom of Crestwood,Five men have to prove their innocence when a blackmailer is murdered.
De zee die denkt,Incredible optical illusions in a story in a story in a story helps the surprised viewer finally to find out that he has been watching himself all along.
Buffalo Bill,"Scout William F. Cody (Joel McCrea) marries a U.S. senator's daughter (Maureen O'Hara), fights the Cheyenne and leads a Wild West show."
David,"The tribes of Israel need to defeat the superior might of the Philistines: ""Now appoint a king to lead us, such as all the other nations have."" (I Samuel, 8:5). And so the prophet Samuel gives the Hebrews their first king, Saul.  Saul, however, has incessant doubts about his mission. The influential prophet Samuel turns away from Saul in order to select a new king according to God's will: David. He is still a young boy, tending sheep in the fields, when, secretly Samuel oints him as the next king of the Israelites."
The Impostors,"In an attempt to resurrect the slapstick comedy of Laurel and Hardy or The Marx Brothers, Stanley Tucci and Oliver Platt team-up as two out-of-work actors who accidentally stow away on a ship to hide from a drunken, belligerent lead actor who has sworn to kill them for belittling his talents."
Khadak,"Set in the frozen steppes of Mongolia, a young nomad confronted with his destiny after animals fall victim to a plague which threatens to eradicate nomadism."
"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""","A concert inspired by the Coen Brothers' film, 'Inside Llewyn Davis,' which is set in the 1960s Greenwich Village folk music scene, featuring live performances of the film's music, as well as songs from the early 1960s. Performers include the Avett Brothers, Joan Baez, Dave Rawlings Machine, Rhiannon Giddens, Lake Street Dive, Colin Meloy, The Milk Carton Kids, Marcus Mumford, Punch Brothers, Patti Smith, Willie Watson, Gillian Welch, and Jack White, as well as the star of the film Oscar Isaac."
Bajo la Sal,"A series of murders leads Commander Trujillo to Santa Rosa de la Sal a town close to a salt mine, where he meets Victor Zepeda - a lonely teenager who works in his father's funeral home and spends his free time making crude animated horror films - who's strange behavior seems to point at him as the culprit of the crimes."
Bij de beesten af,"The film is a study of the differences and similarities between human and animal behaviour. The first part of the movie focuses on the behaviour of various animal species. The second half is about humans. In the original Dutch version writer Anton Koolhaas, who also wrote the script, provided the voice-over."
36 Quai des Orfèvres,"The Film takes place in Paris,where two cops are competing for the vacant seat of chief of police while in the middle of a search for a gang of violent thieves. The movie is directed by Olivier Marchal,a former police officer who spent 12 years with the french police before creating this story,which in part is taken from real facts that happened during the 1980's in France."
L'Envahisseur,An African immigrant living illegally in Belgium is desperate to find his own sense of belonging.
Apparitional,"A group of ghost hunters must up their game to compete in the competitive world of paranormal TV shows, leading them to a truly haunted prison with a grisly past that proves to be more than they bargained for."
Zhai bian,"A Taiwanese man returns to the island after years abroad when he inherits a house; when he and his fiancé move in, strange things start to happen."
Humorous Phases of Funny Faces,A cartoonist draws faces and figures on a blackboard - and they come to life.
Snow Falling on Cedars,"A Japanese-American fisherman may have killed his neighbor Carl at sea. In the 1950s, race figures in the trial. So does reporter Ishmael."
"Poverty, Inc.","Poverty, Inc. explores the hidden side of doing good. From disaster relief to TOMs Shoes, from adoptions to agricultural subsidies, Poverty, Inc. follows the butterfly effect of our most well-intentioned efforts and pulls back the curtain on the poverty industrial complex - the multi-billion dollar market of NGOs, multilateral agencies, and for-profit aid contractors. Are we catalyzing development or are we propagating a system in which the poor stay poor while the rich get hipper?"
Une bouteille à la mer,"Tai is 17 years old. Naim is 20. She's Israeli. He's Palestinian. She lives in Jerusalem. He lives in Gaza. They were born in a land of scorched earth, where fathers bury their children. They must endure an explosive situation that is not of their choosing at an age where young people are falling in love and taking their place in adult life. A bottle thrown in the sea and a correspondence by email nurture the slender hope that their relationship might give them the strength to confront this harsh reality to grapple with it, and thereby ever so slightly change it. Only 60 miles separate them but how many bombings, check-points, sleepless nights and bloodstained days stand between them?"
Sayat Nova,"The life of revered the 18th-century Armenian poet and musician Sayat-Nova (Vilen Galstyan). Portraying events in the life of the artist from childhood up to his death, the movie addresses in particular his relationships with women, including his muse (Sofiko Chiaureli). The production tells Sayat-Nova's dramatic story by using both his poems and largely still camerawork, creating an impressionistic work."
Where the Rivers Flow North,"Sleeper with a top notch cast in the story of a lone wolf logger who fights developers, bankers and the modern world to maintain his way of life."
Coursier,"From multicultural Paris to designer Paris, Montmartre to the Champs-Elysées, sleazy sidewalks to high-end galleries... Watch out! Sam the courier is a man on a mission! On his scooter, Sam breaks every rule of the road to make good on the ""express delivery"" promise of the courier service he works for. But however hard he tries, Sam never gets a bonus from his boss, never beats his slicker colleagues and never gets past his Dad, a cop who books him every time. All Sam has up is Nadia, and she will turn on him if he doesn't show up for her sister's wedding. Trouble is, Sam has one more delivery to make and his day has just gone from bad to worse..."
Blinkity Blank,An animated short film with an improvised jazz soundtrack.
L'âge d'or,"The film consists of a series of tightly interlinked vignettes, the most sustained of which details the story of a man and a woman who are passionately in love. Their attempts to consummate their passion are constantly thwarted, by their families, by the Church and bourgeois society in general. In one notable scene, the young girl passionately fellates the toe of a religious statue."
The Man in the Net,A artist living in a quiet Connecticut is the main suspect in the disappearance of his shrew wife. Things really turn ugly when the townsfolk attempt to take the law into their own hands.
Frances Ha,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks."
